Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
389.045,449.618E-6,3.06032E-9,1.31873E-9,1.06454E-9,1.04169E-9
380.189,459.961E-6,3.12205E-9,1.32199E-9,1.05462E-9,1.03041E-9
371.535,470.544E-6,3.18579E-9,1.32604E-9,1.04492E-9,1.01927E-9
363.078,481.374E-6,3.25158E-9,1.33089E-9,1.03544E-9,1.00827E-9
354.813,492.456E-6,3.31944E-9,1.33657E-9,1.02619E-9,997.404E-12
346.737,503.795E-6,3.38943E-9,1.34309E-9,1.01717E-9,986.672E-12
338.844,515.398E-6,3.46156E-9,1.35046E-9,1.00837E-9,976.074E-12
331.131,527.271E-6,3.53588E-9,1.35871E-9,999.819E-12,965.610E-12
323.594,539.421E-6,3.61243E-9,1.36786E-9,991.508E-12,955.278E-12
316.228,551.853E-6,3.69124E-9,1.37791E-9,983.445E-12,945.079E-12
309.030,564.576E-6,3.77236E-9,1.38889E-9,975.635E-12,935.011E-12
301.995,577.594E-6,3.85582E-9,1.40081E-9,968.085E-12,925.074E-12
295.121,590.916E-6,3.94168E-9,1.41369E-9,960.800E-12,915.268E-12
288.403,604.549E-6,4.02997E-9,1.42754E-9,953.787E-12,905.592E-12
281.838,618.500E-6,4.12075E-9,1.44238E-9,947.054E-12,896.045E-12
275.423,632.777E-6,4.21407E-9,1.45823E-9,940.607E-12,886.628E-12
269.153,647.387E-6,4.30997E-9,1.47509E-9,934.453E-12,877.341E-12
263.027,662.338E-6,4.40850E-9,1.49299E-9,928.602E-12,868.182E-12
257.040,677.638E-6,4.50973E-9,1.51193E-9,923.061E-12,859.152E-12
251.189,693.296E-6,4.61371E-9,1.53194E-9,917.838E-12,850.251E-12
245.471,709.320E-6,4.72050E-9,1.55303E-9,912.944E-12,841.479E-12
239.883,725.719E-6,4.83015E-9,1.57520E-9,908.386E-12,832.836E-12
234.423,742.502E-6,4.94273E-9,1.59849E-9,904.175E-12,824.323E-12
229.087,759.677E-6,5.05830E-9,1.62289E-9,900.321E-12,815.939E-12
223.872,777.255E-6,5.17693E-9,1.64843E-9,896.834E-12,807.685E-12
218.776,795.245E-6,5.29869E-9,1.67512E-9,893.724E-12,799.562E-12
213.796,813.656E-6,5.42365E-9,1.70297E-9,891.003E-12,791.569E-12
208.930,832.499E-6,5.55187E-9,1.73201E-9,888.681E-12,783.709E-12
204.174,851.784E-6,5.68344E-9,1.76224E-9,886.770E-12,775.981E-12
199.526,871.522E-6,5.81843E-9,1.79368E-9,885.282E-12,768.387E-12
194.984,891.724E-6,5.95692E-9,1.82635E-9,884.228E-12,760.927E-12
190.546,912.399E-6,6.09899E-9,1.86027E-9,883.620E-12,753.604E-12
186.209,933.561E-6,6.24472E-9,1.89545E-9,883.471E-12,746.417E-12
181.970,955.221E-6,6.39421E-9,1.93192E-9,883.793E-12,739.369E-12
177.828,977.390E-6,6.54754E-9,1.96968E-9,884.598E-12,732.461E-12
173.780,1.00008E-3,6.70481E-9,2.00877E-9,885.899E-12,725.695E-12
169.824,1.02331E-3,6.86610E-9,2.04920E-9,887.708E-12,719.073E-12
165.959,1.04708E-3,7.03152E-9,2.09098E-9,890.038E-12,712.597E-12
162.181,1.07141E-3,7.20117E-9,2.13416E-9,892.901E-12,706.269E-12
158.489,1.09632E-3,7.37514E-9,2.17873E-9,896.310E-12,700.092E-12
154.882,1.12182E-3,7.55355E-9,2.22474E-9,900.278E-12,694.067E-12
151.356,1.14792E-3,7.73650E-9,2.27220E-9,904.816E-12,688.199E-12
147.911,1.17463E-3,7.92411E-9,2.32115E-9,909.937E-12,682.489E-12
144.544,1.20198E-3,8.11649E-9,2.37160E-9,915.653E-12,676.941E-12
141.254,1.22997E-3,8.31376E-9,2.42358E-9,921.976E-12,671.559E-12
138.038,1.25863E-3,8.51604E-9,2.47713E-9,928.918E-12,666.345E-12
134.896,1.28796E-3,8.72346E-9,2.53227E-9,936.491E-12,661.305E-12
131.826,1.31800E-3,8.93615E-9,2.58904E-9,944.706E-12,656.441E-12
128.825,1.34874E-3,9.15424E-9,2.64746E-9,953.576E-12,651.758E-12
