freq (Hz),input noise; V / sqrt(Hz) Rptat2 175.5376  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 219.2198  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 438.4395  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 1753.758  (V / sqrt(Hz))
2.13796E3,722.942E-12,798.232E-12,1.10465E-9,2.15497E-9
2.18776E3,722.744E-12,798.109E-12,1.10461E-9,2.15496E-9
2.23872E3,722.551E-12,797.988E-12,1.10458E-9,2.15495E-9
2.29087E3,722.362E-12,797.871E-12,1.10454E-9,2.15494E-9
2.34423E3,722.179E-12,797.757E-12,1.10451E-9,2.15493E-9
2.39883E3,721.999E-12,797.645E-12,1.10448E-9,2.15492E-9
2.45471E3,721.825E-12,797.536E-12,1.10445E-9,2.15491E-9
2.51189E3,721.654E-12,797.430E-12,1.10442E-9,2.15491E-9
2.57040E3,721.488E-12,797.327E-12,1.10438E-9,2.15490E-9
2.63027E3,721.326E-12,797.226E-12,1.10436E-9,2.15489E-9
2.69153E3,721.168E-12,797.127E-12,1.10433E-9,2.15488E-9
2.75423E3,721.014E-12,797.031E-12,1.10430E-9,2.15488E-9
2.81838E3,720.864E-12,796.938E-12,1.10427E-9,2.15487E-9
2.88403E3,720.717E-12,796.847E-12,1.10424E-9,2.15486E-9
2.95121E3,720.574E-12,796.758E-12,1.10422E-9,2.15485E-9
3.01995E3,720.435E-12,796.671E-12,1.10419E-9,2.15485E-9
3.09030E3,720.299E-12,796.586E-12,1.10417E-9,2.15484E-9
3.16228E3,720.166E-12,796.504E-12,1.10414E-9,2.15483E-9
3.23594E3,720.037E-12,796.423E-12,1.10412E-9,2.15483E-9
3.31131E3,719.911E-12,796.345E-12,1.10410E-9,2.15482E-9
3.38844E3,719.788E-12,796.269E-12,1.10407E-9,2.15482E-9
3.46737E3,719.668E-12,796.194E-12,1.10405E-9,2.15481E-9
3.54813E3,719.552E-12,796.121E-12,1.10403E-9,2.15481E-9
3.63078E3,719.438E-12,796.050E-12,1.10401E-9,2.15480E-9
3.71535E3,719.327E-12,795.981E-12,1.10399E-9,2.15479E-9
3.80189E3,719.218E-12,795.914E-12,1.10397E-9,2.15479E-9
3.89045E3,719.112E-12,795.848E-12,1.10395E-9,2.15478E-9
3.98107E3,719.009E-12,795.784E-12,1.10393E-9,2.15478E-9
4.07380E3,718.909E-12,795.722E-12,1.10391E-9,2.15477E-9
4.16869E3,718.811E-12,795.661E-12,1.10390E-9,2.15477E-9
4.26580E3,718.715E-12,795.601E-12,1.10388E-9,2.15476E-9
4.36516E3,718.622E-12,795.543E-12,1.10386E-9,2.15476E-9
