Ic,Noise_1Hz,Noise_1kHz
0.000126854,2.1302392681142355e-09,1.890931370650723e-09
0.000129741,2.1192955332514915e-09,1.869866754979885e-09
0.000132694,2.108976597345103e-09,1.8490373692515003e-09
0.000135715,2.099290094240348e-09,1.8284374228902764e-09
0.000138805,2.0902471962542415e-09,1.8080682950559347e-09
0.000141967,2.0818536068920024e-09,1.787918590215465e-09
0.0001452,2.074125710579612e-09,1.7680025741714813e-09
0.000148508,2.0670672679303656e-09,1.74830331265574e-09
0.000151891,2.060691548517226e-09,1.7288286351190993e-09
0.000155352,2.0550056555571306e-09,1.7095688769728193e-09
0.000158894,2.050017928950782e-09,1.6905155596592925e-09
0.000162515,2.045743137085163e-09,1.6716868448800575e-09
0.000166221,2.042185816310539e-09,1.6530589247562147e-09
0.000170011,2.039358510816564e-09,1.6346444626869755e-09
0.000173888,2.0372694779045266e-09,1.6164359595875703e-09
0.000177854,2.0359279642176277e-09,1.5984312820220117e-09
0.000181912,2.035343019421471e-09,1.580624203924495e-09
0.000186063,2.0355239510200763e-09,1.5630176090314961e-09
0.000190309,2.0364793597637754e-09,1.5456099307586653e-09
0.000194653,2.0382180086416715e-09,1.5283958498472468e-09
0.000199097,2.0407483004748504e-09,1.5113744554472493e-09
0.000203643,2.044078184244746e-09,1.4945449125499654e-09
